T(K),P(bar),"H2O,wt%"
587.407,1094.5,1.96464
589.949,1094.5,1.96464
592.492,1094.5,1.96464
595.034,1094.5,1.96464
597.576,1094.5,1.96464
600.119,1094.5,1.96464
602.661,1094.5,1.96464
605.203,1094.5,1.96464
607.746,1094.5,1.96464
610.288,1094.5,1.96464
612.831,1094.5,1.96464
615.373,1094.5,1.96464
617.915,1094.5,1.96464
620.458,1094.5,1.96464
623.0,1094.5,1.96464
625.542,1094.5,1.96464
628.085,1094.5,1.96464
630.627,1094.5,1.96464
633.169,1094.5,1.96464
635.712,1094.5,1.96464
638.254,1094.5,1.96464
640.797,1094.5,1.96464
643.339,1094.5,1.96464
645.881,1094.5,1.96464
648.424,1094.5,1.96464
650.966,1094.5,1.96464
653.508,1094.5,1.96464
656.051,1094.5,1.96464
658.593,1094.5,1.96464
661.136,1094.5,1.96464
663.678,1094.5,1.96464
666.22,1094.5,1.96464
668.763,1094.5,1.96464
671.305,1094.5,1.96464
673.847,1094.5,1.96464
676.39,1094.5,1.96464
678.932,1094.5,1.96464
681.475,1094.5,1.96464
684.017,1094.5,1.96464
686.559,1094.5,1.96464
689.102,1094.5,1.96464
691.644,1094.5,1.96464
694.186,1094.5,1.96464
696.729,1094.5,1.96464
699.271,1094.5,1.96464
701.814,1094.5,1.96464
704.356,1094.5,1.96464
706.898,1094.5,1.96464
709.441,1094.5,1.96464
711.983,1094.5,1.96464
714.525,1094.5,1.96464
717.068,1094.5,1.96464
719.61,1094.5,1.96464
722.153,1094.5,1.96464
724.695,1094.5,1.96464
727.237,1094.5,1.96464
729.78,1094.5,1.96464
732.322,1094.5,1.96464
734.864,1094.5,1.96464
737.407,1094.5,1.96464
739.949,1094.5,1.96464
742.492,1094.5,1.96464
745.034,1094.5,1.96464
747.576,1094.5,1.96464
750.119,1094.5,1.96464
752.661,1094.5,1.96464
755.203,1094.5,1.96464
757.746,1094.5,1.96464
760.288,1094.5,1.96464
762.831,1094.5,1.96464
765.373,1094.5,1.96464
767.915,1094.5,1.96464
770.458,1094.5,1.96464
773.0,1094.5,1.96464
775.542,1094.5,1.96464
778.085,1094.5,1.96464
780.627,1094.5,1.96464
783.169,1094.5,1.96464
785.712,1094.5,1.96464
788.254,1094.5,1.96464
790.797,1094.5,1.96464
793.339,1094.5,1.96464
795.881,1094.5,1.96464
798.424,1094.5,1.96464
800.966,1094.5,1.96464
803.508,1094.5,1.96464
806.051,1094.5,1.96464
808.593,1094.5,1.96464
811.136,1094.5,1.96464
813.678,1094.5,1.96464
816.22,1094.5,1.96464
818.763,1094.5,1.96464
821.305,1094.5,1.96464
823.847,1094.5,1.96464
826.39,1094.5,1.96464
828.932,1094.5,1.96464
831.475,1094.5,1.96464
834.017,1094.5,1.96464
836.559,1094.5,1.96464
839.102,1094.5,1.96464
841.644,1094.5,1.96464
844.186,1094.5,1.96464
846.729,1094.5,1.96464
849.271,1094.5,1.96464
851.814,1094.5,1.96464
854.356,1094.5,1.96464
856.898,1094.5,1.96464
859.441,1094.5,1.96464
861.983,1094.5,1.96464
864.525,1094.5,1.96464
867.068,1094.5,1.96464
869.61,1094.5,1.96464
872.153,1094.5,1.96464
874.695,1094.5,1.96464
877.237,1094.5,1.96464
879.78,1094.5,1.96464
882.322,1094.5,1.96464
884.864,1094.5,1.96464
887.407,1094.5,1.96464
889.949,1094.5,1.96464
892.492,1094.5,1.96464
895.034,1094.5,1.96464
897.576,1094.5,1.96464
900.119,1094.5,1.96464
902.661,1094.5,1.96464
905.203,1094.5,1.96464
907.746,1094.5,1.96464
910.288,1094.5,1.96464
912.831,1094.5,1.96464
915.373,1094.5,1.96464
917.915,1094.5,1.96464
920.458,1094.5,0.510797
923.0,1094.5,0.505632
925.542,1094.5,0.500085
928.085,1094.5,0.487148
930.627,1094.5,0.452645
933.169,1094.5,0.514725
935.712,1094.5,0.441102
938.254,1094.5,0.250957
940.797,1094.5,0.24961
943.339,1094.5,0.248439
945.881,1094.5,0.24729
948.424,1094.5,0.246332
950.966,1094.5,0.245215
953.508,1094.5,0.244163
956.051,1094.5,0.243111
958.593,1094.5,0.242351
961.136,1094.5,0.241344
963.678,1094.5,0.240284
966.22,1094.5,0.239343
968.763,1094.5,0.239013
971.305,1094.5,0.238016
973.847,1094.5,0.235823
976.39,1094.5,0.235076
978.932,1094.5,0.233987
981.475,1094.5,0.233013
984.017,1094.5,0.232124
986.559,1094.5,0.231235
989.102,1094.5,0.230302
991.644,1094.5,0.22942
994.186,1094.5,0.228556
996.729,1094.5,0.227693
999.271,1094.5,0.226906
1001.81,1094.5,0.226108
1004.36,1094.5,0.225931
1006.9,1094.5,0.0
1009.44,1094.5,0.0
1011.98,1094.5,0.0
1014.53,1094.5,0.0
1017.07,1094.5,0.0
1019.61,1094.5,0.0
1022.15,1094.5,0.0
1024.69,1094.5,0.0
1027.24,1094.5,0.0
1029.78,1094.5,0.0
1032.32,1094.5,0.0
1034.86,1094.5,0.0
1037.41,1094.5,0.0
1039.95,1094.5,0.0
1042.49,1094.5,0.0
1045.03,1094.5,0.0
1047.58,1094.5,0.0
1050.12,1094.5,0.0
1052.66,1094.5,0.0
1055.2,1094.5,0.0
1057.75,1094.5,0.0
1060.29,1094.5,0.0
1062.83,1094.5,0.0
1065.37,1094.5,0.0
1067.92,1094.5,0.0
1070.46,1094.5,0.0
1073.0,1094.5,0.0
1075.54,1094.5,0.0
1078.08,1094.5,0.0
1080.63,1094.5,0.0
1083.17,1094.5,0.0
1085.71,1094.5,0.0
1088.25,1094.5,0.0
1090.8,1094.5,0.0
1093.34,1094.5,0.0
1095.88,1094.5,0.0
1098.42,1094.5,0.0
1100.97,1094.5,0.0
1103.51,1094.5,0.0
1106.05,1094.5,0.0
1108.59,1094.5,0.0
1111.14,1094.5,0.0
1113.68,1094.5,0.0
1116.22,1094.5,0.0
1118.76,1094.5,0.0
1121.31,1094.5,0.0
1123.85,1094.5,0.0
1126.39,1094.5,0.0
1128.93,1094.5,0.0
1131.47,1094.5,0.0
1134.02,1094.5,0.0
1136.56,1094.5,0.0
1139.1,1094.5,0.0
1141.64,1094.5,0.0
1144.19,1094.5,0.0
1146.73,1094.5,0.0
1149.27,1094.5,0.0
1151.81,1094.5,0.0
1154.36,1094.5,0.0
1156.9,1094.5,0.0
1159.44,1094.5,0.0
1161.98,1094.5,0.0
1164.53,1094.5,0.0
1167.07,1094.5,0.0
1169.61,1094.5,0.0
1172.15,1094.5,0.0
1174.69,1094.5,0.0
1177.24,1094.5,0.0
1179.78,1094.5,0.0
1182.32,1094.5,0.0
1184.86,1094.5,0.0
1187.41,1094.5,0.0
1189.95,1094.5,0.0
1192.49,1094.5,0.0
1195.03,1094.5,0.0
1197.58,1094.5,0.0
1200.12,1094.5,0.0
1202.66,1094.5,0.0
1205.2,1094.5,0.0
1207.75,1094.5,0.0
1210.29,1094.5,0.0
1212.83,1094.5,0.0
1215.37,1094.5,0.0
1217.92,1094.5,0.0
1220.46,1094.5,0.0
1223.0,1094.5,0.0
1225.54,1094.5,0.0
1228.08,1094.5,0.0
1230.63,1094.5,0.0
1233.17,1094.5,0.0
1235.71,1094.5,0.0
1238.25,1094.5,0.0
1240.8,1094.5,0.0
1243.34,1094.5,0.0
1245.88,1094.5,0.0
1248.42,1094.5,0.0
1250.97,1094.5,0.0
1253.51,1094.5,0.0
1256.05,1094.5,0.0
1258.59,1094.5,0.0
1261.14,1094.5,0.0
1263.68,1094.5,0.0
1266.22,1094.5,0.0
1268.76,1094.5,0.0
1271.31,1094.5,0.0
1273.85,1094.5,0.0
1276.39,1094.5,0.0
1278.93,1094.5,0.0
1281.47,1094.5,0.0
1284.02,1094.5,0.0
1286.56,1094.5,0.0
1289.1,1094.5,0.0
1291.64,1094.5,0.0
1294.19,1094.5,0.0
1296.73,1094.5,0.0
1299.27,1094.5,0.0
1301.81,1094.5,0.0
1304.36,1094.5,0.0
1306.9,1094.5,0.0
1309.44,1094.5,0.0
1311.98,1094.5,0.0
1314.53,1094.5,0.0
1317.07,1094.5,0.0
1319.61,1094.5,0.0
1322.15,1094.5,0.0
1324.69,1094.5,0.0
1327.24,1094.5,0.0
1329.78,1094.5,0.0
1332.32,1094.5,0.0
1334.86,1094.5,0.0
1337.41,1094.5,0.0
1339.95,1094.5,0.0
1342.49,1094.5,0.0
1345.03,1094.5,0.0
1347.58,1094.5,0.0
1350.12,1094.5,0.0
1352.66,1094.5,0.0
1355.2,1094.5,0.0
1357.75,1094.5,0.0
1360.29,1094.5,0.0
1362.83,1094.5,0.0
1365.37,1094.5,0.0
1367.92,1094.5,0.0
1370.46,1094.5,0.0
1373.0,1094.5,0.0
1375.54,1094.5,0.0
1378.08,1094.5,0.0
1380.63,1094.5,0.0
1383.17,1094.5,0.0
1385.71,1094.5,0.0
1388.25,1094.5,0.0
1390.8,1094.5,0.0
1393.34,1094.5,0.0
1395.88,1094.5,0.0
1398.42,1094.5,0.0
1400.97,1094.5,0.0
1403.51,1094.5,0.0
1406.05,1094.5,0.0
1408.59,1094.5,0.0
1411.14,1094.5,0.0
1413.68,1094.5,0.0
1416.22,1094.5,0.0
1418.76,1094.5,0.0
1421.31,1094.5,0.0
1423.85,1094.5,0.0
1426.39,1094.5,0.0
1428.93,1094.5,0.0
1431.47,1094.5,0.0
1434.02,1094.5,0.0
1436.56,1094.5,0.0
1439.1,1094.5,0.0
1441.64,1094.5,0.0
1444.19,1094.5,0.0
1446.73,1094.5,0.0
1449.27,1094.5,0.0
1451.81,1094.5,0.0
1454.36,1094.5,0.0
1456.9,1094.5,0.0
1459.44,1094.5,0.0
1461.98,1094.5,0.0
1464.53,1094.5,0.0
1467.07,1094.5,0.0
1469.61,1094.5,0.0
1472.15,1094.5,0.0
1474.69,1094.5,0.0
1477.24,1094.5,0.0
1479.78,1094.5,0.0
1482.32,1094.5,0.0
1484.86,1094.5,0.0
1487.41,1094.5,0.0
1489.95,1094.5,0.0
1492.49,1094.5,0.0
1495.03,1094.5,0.0
1497.58,1094.5,0.0
1500.12,1094.5,0.0
1502.66,1094.5,0.0
1505.2,1094.5,0.0
1507.75,1094.5,0.0
1510.29,1094.5,0.0
1512.83,1094.5,0.0
1515.37,1094.5,0.0
1517.92,1094.5,0.0
1520.46,1094.5,0.0
1523.0,1094.5,0.0
1525.54,1094.5,0.0
1528.08,1094.5,0.0
1530.63,1094.5,0.0
1533.17,1094.5,0.0
1535.71,1094.5,0.0
1538.25,1094.5,0.0
1540.8,1094.5,0.0
1543.34,1094.5,0.0
1545.88,1094.5,0.0
1548.42,1094.5,0.0
1550.97,1094.5,0.0
1553.51,1094.5,0.0
1556.05,1094.5,0.0
1558.59,1094.5,0.0
1561.14,1094.5,0.0
1563.68,1094.5,0.0
1566.22,1094.5,0.0
1568.76,1094.5,0.0
1571.31,1094.5,0.0
1573.85,1094.5,0.0
1576.39,1094.5,0.0
1578.93,1094.5,0.0
1581.47,1094.5,0.0
1584.02,1094.5,0.0
1586.56,1094.5,0.0
1589.1,1094.5,0.0
1591.64,1094.5,0.0
1594.19,1094.5,0.0
1596.73,1094.5,0.0
1599.27,1094.5,0.0
1601.81,1094.5,0.0
1604.36,1094.5,0.0
1606.9,1094.5,0.0
1609.44,1094.5,0.0
1611.98,1094.5,0.0
1614.53,1094.5,0.0
1617.07,1094.5,0.0
1619.61,1094.5,0.0
1622.15,1094.5,0.0
1624.69,1094.5,0.0
1627.24,1094.5,0.0
1629.78,1094.5,0.0
1632.32,1094.5,0.0
1634.86,1094.5,0.0
1637.41,1094.5,0.0
1639.95,1094.5,0.0
1642.49,1094.5,0.0
1645.03,1094.5,0.0
1647.58,1094.5,0.0
1650.12,1094.5,0.0
1652.66,1094.5,0.0
1655.2,1094.5,0.0
1657.75,1094.5,0.0
1660.29,1094.5,0.0
1662.83,1094.5,0.0
1665.37,1094.5,0.0
1667.92,1094.5,0.0
1670.46,1094.5,0.0
1673.0,1094.5,0.0
473.0,1141.75,1.96464
475.542,1141.75,1.96464
478.085,1141.75,1.96464
480.627,1141.75,1.96464
483.169,1141.75,1.96464
485.712,1141.75,1.96464
488.254,1141.75,1.96464
490.797,1141.75,1.96464
493.339,1141.75,1.96464
495.881,1141.75,1.96464
498.424,1141.75,1.96464
500.966,1141.75,1.96464
503.508,1141.75,1.96464
506.051,1141.75,1.96464
508.593,1141.75,1.96464
511.136,1141.75,1.96464
513.678,1141.75,1.96464
516.22,1141.75,1.96464
518.763,1141.75,1.96464
521.305,1141.75,1.96464
523.847,1141.75,1.96464
526.39,1141.75,1.96464
528.932,1141.75,1.96464
531.475,1141.75,1.96464
534.017,1141.75,1.96464
536.559,1141.75,1.96464
539.102,1141.75,1.96464
541.644,1141.75,1.96464
544.186,1141.75,1.96464
546.729,1141.75,1.96464
549.271,1141.75,1.96464
551.814,1141.75,1.96464
554.356,1141.75,1.96464
556.898,1141.75,1.96464
559.441,1141.75,1.96464
561.983,1141.75,1.96464
564.525,1141.75,1.96464
567.068,1141.75,1.96464
569.61,1141.75,1.96464
572.153,1141.75,1.96464
574.695,1141.75,1.96464
577.237,1141.75,1.96464
579.78,1141.75,1.96464
582.322,1141.75,1.96464
584.864,1141.75,1.96464
587.407,1141.75,1.96464
589.949,1141.75,1.96464
592.492,1141.75,1.96464
595.034,1141.75,1.96464
597.576,1141.75,1.96464
600.119,1141.75,1.96464
602.661,1141.75,1.96464
605.203,1141.75,1.96464
607.746,1141.75,1.96464
610.288,1141.75,1.96464
612.831,1141.75,1.96464
615.373,1141.75,1.96464
617.915,1141.75,1.96464
620.458,1141.75,1.96464
623.0,1141.75,1.96464
625.542,1141.75,1.96464
628.085,1141.75,1.96464
630.627,1141.75,1.96464
633.169,1141.75,1.96464
635.712,1141.75,1.96464
638.254,1141.75,1.96464
640.797,1141.75,1.96464
643.339,1141.75,1.96464
645.881,1141.75,1.96464
648.424,1141.75,1.96464
650.966,1141.75,1.96464
653.508,1141.75,1.96464
656.051,1141.75,1.96464
658.593,1141.75,1.96464
661.136,1141.75,1.96464
663.678,1141.75,1.96464
666.22,1141.75,1.96464
668.763,1141.75,1.96464
671.305,1141.75,1.96464
673.847,1141.75,1.96464
676.39,1141.75,1.96464
678.932,1141.75,1.96464
681.475,1141.75,1.96464
684.017,1141.75,1.96464
686.559,1141.75,1.96464
689.102,1141.75,1.96464
691.644,1141.75,1.96464
694.186,1141.75,1.96464
696.729,1141.75,1.96464
699.271,1141.75,1.96464
701.814,1141.75,1.96464
704.356,1141.75,1.96464
706.898,1141.75,1.96464
709.441,1141.75,1.96464
711.983,1141.75,1.96464
714.525,1141.75,1.96464
717.068,1141.75,1.96464
719.61,1141.75,1.96464
722.153,1141.75,1.96464
724.695,1141.75,1.96464
727.237,1141.75,1.96464
729.78,1141.75,1.96464
732.322,1141.75,1.96464
734.864,1141.75,1.96464
737.407,1141.75,1.96464
739.949,1141.75,1.96464
742.492,1141.75,1.96464
745.034,1141.75,1.96464
747.576,1141.75,1.96464
750.119,1141.75,1.96464
752.661,1141.75,1.96464
755.203,1141.75,1.96464
757.746,1141.75,1.96464
760.288,1141.75,1.96464
762.831,1141.75,1.96464
765.373,1141.75,1.96464
767.915,1141.75,1.96464
770.458,1141.75,1.96464
773.0,1141.75,1.96464
775.542,1141.75,1.96464
778.085,1141.75,1.96464
780.627,1141.75,1.96464
783.169,1141.75,1.96464
785.712,1141.75,1.96464
788.254,1141.75,1.96464
790.797,1141.75,1.96464
793.339,1141.75,1.96464
795.881,1141.75,1.96464
798.424,1141.75,1.96464
800.966,1141.75,1.96464
803.508,1141.75,1.96464
806.051,1141.75,1.96464
808.593,1141.75,1.96464
811.136,1141.75,1.96464
813.678,1141.75,1.96464
816.22,1141.75,1.96464
818.763,1141.75,1.96464
821.305,1141.75,1.96464
823.847,1141.75,1.96464
826.39,1141.75,1.96464
828.932,1141.75,1.96464
831.475,1141.75,1.96464
834.017,1141.75,1.96464
836.559,1141.75,1.96464
839.102,1141.75,1.96464
841.644,1141.75,1.96464
844.186,1141.75,1.96464
846.729,1141.75,1.96464
849.271,1141.75,1.96464
851.814,1141.75,1.96464
854.356,1141.75,1.96464
856.898,1141.75,1.96464
859.441,1141.75,1.96464
861.983,1141.75,1.96464
864.525,1141.75,1.96464
867.068,1141.75,1.96464
869.61,1141.75,1.96464
872.153,1141.75,1.96464
874.695,1141.75,1.96464
877.237,1141.75,1.96464
879.78,1141.75,1.96464
882.322,1141.75,1.96464
884.864,1141.75,1.96464
887.407,1141.75,1.96464
889.949,1141.75,1.96464
892.492,1141.75,1.96464
895.034,1141.75,1.96464
897.576,1141.75,1.96464
900.119,1141.75,1.96464
902.661,1141.75,1.96464
905.203,1141.75,1.96464
907.746,1141.75,1.96464
910.288,1141.75,1.96464
912.831,1141.75,1.96464
915.373,1141.75,1.96464
917.915,1141.75,1.96464
920.458,1141.75,0.510797
923.0,1141.75,0.505632
925.542,1141.75,0.500085
928.085,1141.75,0.487148
930.627,1141.75,0.455813
933.169,1141.75,0.514725
935.712,1141.75,0.441102
938.254,1141.75,0.252193
940.797,1141.75,0.251358
943.339,1141.75,0.249862
945.881,1141.75,0.248774
948.424,1141.75,0.247497
950.966,1141.75,0.246349
953.508,1141.75,0.245298
956.051,1141.75,0.244247
958.593,1141.75,0.243417
961.136,1141.75,0.242109
963.678,1141.75,0.241325
966.22,1141.75,0.240358
968.763,1141.75,0.240028
971.305,1141.75,0.239019
973.847,1141.75,0.236989
976.39,1141.75,0.235918
978.932,1141.75,0.235153
981.475,1141.75,0.234137
984.017,1141.75,0.233248
986.559,1141.75,0.232358
989.102,1141.75,0.231398
991.644,1141.75,0.230516
994.186,1141.75,0.229651
996.729,1141.75,0.22879
999.271,1141.75,0.228039
1001.81,1141.75,0.227241
1004.36,1141.75,0.226413
1006.9,1141.75,0.0
1009.44,1141.75,0.0
1011.98,1141.75,0.0
1014.53,1141.75,0.0
1017.07,1141.75,0.0
1019.61,1141.75,0.0
1022.15,1141.75,0.0
1024.69,1141.75,0.0
1027.24,1141.75,0.0
1029.78,1141.75,0.0
1032.32,1141.75,0.0
1034.86,1141.75,0.0
1037.41,1141.75,0.0
1039.95,1141.75,0.0
1042.49,1141.75,0.0
1045.03,1141.75,0.0
1047.58,1141.75,0.0
1050.12,1141.75,0.0
1052.66,1141.75,0.0
1055.2,1141.75,0.0
1057.75,1141.75,0.0
1060.29,1141.75,0.0
1062.83,1141.75,0.0
1065.37,1141.75,0.0
1067.92,1141.75,0.0
1070.46,1141.75,0.0
1073.0,1141.75,0.0
1075.54,1141.75,0.0
1078.08,1141.75,0.0
1080.63,1141.75,0.0
1083.17,1141.75,0.0
1085.71,1141.75,0.0
1088.25,1141.75,0.0
1090.8,1141.75,0.0
1093.34,1141.75,0.0
1095.88,1141.75,0.0
1098.42,1141.75,0.0
1100.97,1141.75,0.0
1103.51,1141.75,0.0
1106.05,1141.75,0.0
1108.59,1141.75,0.0
1111.14,1141.75,0.0
1113.68,1141.75,0.0
1116.22,1141.75,0.0
1118.76,1141.75,0.0
1121.31,1141.75,0.0
1123.85,1141.75,0.0
1126.39,1141.75,0.0
1128.93,1141.75,0.0
1131.47,1141.75,0.0
1134.02,1141.75,0.0
1136.56,1141.75,0.0
1139.1,1141.75,0.0
1141.64,1141.75,0.0
1144.19,1141.75,0.0
1146.73,1141.75,0.0
1149.27,1141.75,0.0
1151.81,1141.75,0.0
1154.36,1141.75,0.0
1156.9,1141.75,0.0
1159.44,1141.75,0.0
1161.98,1141.75,0.0
1164.53,1141.75,0.0
1167.07,1141.75,0.0
1169.61,1141.75,0.0
1172.15,1141.75,0.0
1174.69,1141.75,0.0
1177.24,1141.75,0.0
1179.78,1141.75,0.0
1182.32,1141.75,0.0
1184.86,1141.75,0.0
1187.41,1141.75,0.0
1189.95,1141.75,0.0
1192.49,1141.75,0.0
1195.03,1141.75,0.0
1197.58,1141.75,0.0
1200.12,1141.75,0.0
1202.66,1141.75,0.0
1205.2,1141.75,0.0
1207.75,1141.75,0.0
1210.29,1141.75,0.0
1212.83,1141.75,0.0
1215.37,1141.75,0.0
1217.92,1141.75,0.0
1220.46,1141.75,0.0
1223.0,1141.75,0.0
1225.54,1141.75,0.0
1228.08,1141.75,0.0
1230.63,1141.75,0.0
1233.17,1141.75,0.0
1235.71,1141.75,0.0
1238.25,1141.75,0.0
1240.8,1141.75,0.0
1243.34,1141.75,0.0
1245.88,1141.75,0.0
1248.42,1141.75,0.0
1250.97,1141.75,0.0
1253.51,1141.75,0.0
1256.05,1141.75,0.0
1258.59,1141.75,0.0
1261.14,1141.75,0.0
1263.68,1141.75,0.0
1266.22,1141.75,0.0
1268.76,1141.75,0.0
1271.31,1141.75,0.0
1273.85,1141.75,0.0
1276.39,1141.75,0.0
1278.93,1141.75,0.0
1281.47,1141.75,0.0
1284.02,1141.75,0.0
1286.56,1141.75,0.0
1289.1,1141.75,0.0
1291.64,1141.75,0.0
1294.19,1141.75,0.0
1296.73,1141.75,0.0
1299.27,1141.75,0.0
1301.81,1141.75,0.0
1304.36,1141.75,0.0
1306.9,1141.75,0.0
1309.44,1141.75,0.0
1311.98,1141.75,0.0
1314.53,1141.75,0.0
1317.07,1141.75,0.0
1319.61,1141.75,0.0
1322.15,1141.75,0.0
1324.69,1141.75,0.0
1327.24,1141.75,0.0
1329.78,1141.75,0.0
1332.32,1141.75,0.0
1334.86,1141.75,0.0
1337.41,1141.75,0.0
1339.95,1141.75,0.0
1342.49,1141.75,0.0
1345.03,1141.75,0.0
1347.58,1141.75,0.0
1350.12,1141.75,0.0
1352.66,1141.75,0.0
1355.2,1141.75,0.0
1357.75,1141.75,0.0
1360.29,1141.75,0.0
1362.83,1141.75,0.0
1365.37,1141.75,0.0
1367.92,1141.75,0.0
1370.46,1141.75,0.0
1373.0,1141.75,0.0
1375.54,1141.75,0.0
1378.08,1141.75,0.0
1380.63,1141.75,0.0
1383.17,1141.75,0.0
1385.71,1141.75,0.0
1388.25,1141.75,0.0
1390.8,1141.75,0.0
1393.34,1141.75,0.0
1395.88,1141.75,0.0
1398.42,1141.75,0.0
1400.97,1141.75,0.0
1403.51,1141.75,0.0
1406.05,1141.75,0.0
1408.59,1141.75,0.0
1411.14,1141.75,0.0
1413.68,1141.75,0.0
1416.22,1141.75,0.0
1418.76,1141.75,0.0
1421.31,1141.75,0.0
1423.85,1141.75,0.0
1426.39,1141.75,0.0
1428.93,1141.75,0.0
1431.47,1141.75,0.0
1434.02,1141.75,0.0
1436.56,1141.75,0.0
1439.1,1141.75,0.0
1441.64,1141.75,0.0
1444.19,1141.75,0.0
1446.73,1141.75,0.0
1449.27,1141.75,0.0
1451.81,1141.75,0.0
1454.36,1141.75,0.0
1456.9,1141.75,0.0
1459.44,1141.75,0.0
1461.98,1141.75,0.0
1464.53,1141.75,0.0
1467.07,1141.75,0.0
1469.61,1141.75,0.0
1472.15,1141.75,0.0
1474.69,1141.75,0.0
1477.24,1141.75,0.0
1479.78,1141.75,0.0
1482.32,1141.75,0.0
1484.86,1141.75,0.0
1487.41,1141.75,0.0
1489.95,1141.75,0.0
1492.49,1141.75,0.0
1495.03,1141.75,0.0
1497.58,1141.75,0.0
1500.12,1141.75,0.0
1502.66,1141.75,0.0
1505.2,1141.75,0.0
1507.75,1141.75,0.0
1510.29,1141.75,0.0
1512.83,1141.75,0.0
1515.37,1141.75,0.0
1517.92,1141.75,0.0
1520.46,1141.75,0.0
1523.0,1141.75,0.0
1525.54,1141.75,0.0
1528.08,1141.75,0.0
1530.63,1141.75,0.0
1533.17,1141.75,0.0
1535.71,1141.75,0.0
1538.25,1141.75,0.0
1540.8,1141.75,0.0
1543.34,1141.75,0.0
1545.88,1141.75,0.0
1548.42,1141.75,0.0
1550.97,1141.75,0.0
1553.51,1141.75,0.0
1556.05,1141.75,0.0
1558.59,1141.75,0.0
1561.14,1141.75,0.0
1563.68,1141.75,0.0
1566.22,1141.75,0.0
1568.76,1141.75,0.0
1571.31,1141.75,0.0
1573.85,1141.75,0.0
1576.39,1141.75,0.0
1578.93,1141.75,0.0
1581.47,1141.75,0.0
1584.02,1141.75,0.0
1586.56,1141.75,0.0
1589.1,1141.75,0.0
1591.64,1141.75,0.0
1594.19,1141.75,0.0
1596.73,1141.75,0.0
1599.27,1141.75,0.0
1601.81,1141.75,0.0
1604.36,1141.75,0.0
1606.9,1141.75,0.0
1609.44,1141.75,0.0
1611.98,1141.75,0.0
1614.53,1141.75,0.0
1617.07,1141.75,0.0
1619.61,1141.75,0.0
1622.15,1141.75,0.0
1624.69,1141.75,0.0
1627.24,1141.75,0.0
1629.78,1141.75,0.0
1632.32,1141.75,0.0
1634.86,1141.75,0.0
1637.41,1141.75,0.0
1639.95,1141.75,0.0
1642.49,1141.75,0.0
1645.03,1141.75,0.0
1647.58,1141.75,0.0
1650.12,1141.75,0.0
1652.66,1141.75,0.0
1655.2,1141.75,0.0
1657.75,1141.75,0.0
1660.29,1141.75,0.0
1662.83,1141.75,0.0
1665.37,1141.75,0.0
1667.92,1141.75,0.0
1670.46,1141.75,0.0
1673.0,1141.75,0.0
473.0,1189.0,1.96464
475.542,1189.0,1.96464
478.085,1189.0,1.96464
480.627,1189.0,1.96464
483.169,1189.0,1.96464
485.712,1189.0,1.96464
488.254,1189.0,1.96464
490.797,1189.0,1.96464
493.339,1189.0,1.96464
495.881,1189.0,1.96464
498.424,1189.0,1.96464
500.966,1189.0,1.96464
503.508,1189.0,1.96464
506.051,1189.0,1.96464
508.593,1189.0,1.96464
511.136,1189.0,1.96464
513.678,1189.0,1.96464
516.22,1189.0,1.96464
518.763,1189.0,1.96464
521.305,1189.0,1.96464
523.847,1189.0,1.96464
526.39,1189.0,1.96464
528.932,1189.0,1.96464
531.475,1189.0,1.96464
534.017,1189.0,1.96464
536.559,1189.0,1.96464
539.102,1189.0,1.96464
541.644,1189.0,1.96464
544.186,1189.0,1.96464
546.729,1189.0,1.96464
549.271,1189.0,1.96464
551.814,1189.0,1.96464
554.356,1189.0,1.96464
556.898,1189.0,1.96464
559.441,1189.0,1.96464
561.983,1189.0,1.96464
564.525,1189.0,1.96464
567.068,1189.0,1.96464
569.61,1189.0,1.96464
572.153,1189.0,1.96464
574.695,1189.0,1.96464
577.237,1189.0,1.96464
579.78,1189.0,1.96464
582.322,1189.0,1.96464
584.864,1189.0,1.96464
587.407,1189.0,1.96464
589.949,1189.0,1.96464
592.492,1189.0,1.96464
595.034,1189.0,1.96464
597.576,1189.0,1.96464
600.119,1189.0,1.96464
602.661,1189.0,1.96464
605.203,1189.0,1.96464
607.746,1189.0,1.96464
610.288,1189.0,1.96464
612.831,1189.0,1.96464
615.373,1189.0,1.96464
617.915,1189.0,1.96464
620.458,1189.0,1.96464
623.0,1189.0,1.96464
625.542,1189.0,1.96464
628.085,1189.0,1.96464
630.627,1189.0,1.96464
633.169,1189.0,1.96464
635.712,1189.0,1.96464
638.254,1189.0,1.96464
640.797,1189.0,1.96464
643.339,1189.0,1.96464
645.881,1189.0,1.96464
648.424,1189.0,1.96464
650.966,1189.0,1.96464
653.508,1189.0,1.96464
656.051,1189.0,1.96464
658.593,1189.0,1.96464
661.136,1189.0,1.96464
663.678,1189.0,1.96464
666.22,1189.0,1.96464
668.763,1189.0,1.96464
671.305,1189.0,1.96464
673.847,1189.0,1.96464
676.39,1189.0,1.96464
678.932,1189.0,1.96464
681.475,1189.0,1.96464
684.017,1189.0,1.96464
686.559,1189.0,1.96464
689.102,1189.0,1.96464
691.644,1189.0,1.96464
694.186,1189.0,1.96464
696.729,1189.0,1.96464
699.271,1189.0,1.96464
701.814,1189.0,1.96464
704.356,1189.0,1.96464
706.898,1189.0,1.96464
709.441,1189.0,1.96464
711.983,1189.0,1.96464
714.525,1189.0,1.96464
717.068,1189.0,1.96464
